"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_kac_ft","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","POR_Median_Departure_kac_ft","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","Percent_of_Saturation","NRCS_1981_2010_Average_kac_ft","NRCS_1981_2010_Median_kac_ft","POR_Average_kac_ft","POR_Median_kac_ft","Minimum_POR_kac_ft","Maximum_POR_kac_ft","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR","Saturation_kac_ft"
"Black Hollow Reservoir","06016030	","Colorado","Reservoir","Weld","5080","40.61667","-104.88333","101900071003	","End of February, 2019","3-06-2019, 11:11 AM MST","4","143",,"148","140","1.145","96","4","65",,,"2.8",,"2.705","2.855","-1","4.35","1995","2015","68",
"Cache La Poudre","06016050	","Colorado","Reservoir","Larimer","4900","40.55","-104.96667","101900071001	","End of February, 2019","3-06-2019, 11:11 AM MST","8.5","118",,"119","112","0.885","76","17","52",,,"7.2",,"7.156","7.615","-0.4","9.985","1977","1999","68",
"Chambers Lake","06016070	","Colorado","Reservoir","Larimer","9150","40.6","-105.85","101900070204	","End of February, 2019","3-06-2019, 11:11 AM MST","2.5","78",,"78","87","-0.37","40","41","28",,,"3.2",,"3.208","2.871","0","7.72","1992","1962","68",
"Cobb Lake","06016090	","Colorado","Reservoir","Larimer","5150","40.6517","-104.97214","101900070905	","End of February, 2019","3-06-2019, 11:11 AM MST","15.1","130",,"118","106","0.8","51","34","35",,,"11.6",,"12.792","14.3","0","22.1","1955, 1967, 1978","1971","68",
"Fossil Creek Reservoir","06016120	","Colorado","Reservoir","Larimer","4860","40.48905","-105.0078","101900071002	","End of February, 2019","3-06-2019, 11:11 AM MST","10.1","131",,"133","122","1.804","94","5","64",,,"7.7",,"7.605","8.296","-0.2","10.495","1984","2010","68",
"Halligan Reservoir","06016140	","Colorado","Reservoir","Larimer","6350","40.87952","-105.33735","101900070701	","End of February, 2019","3-06-2019, 11:11 AM MST","6.1","127",,"132","127","1.3","83","12","56",,,"4.8",,"4.633","4.8","1.7","6.4","1971","2015, 2016, 2017, more","67",
"Horsetooth Reservoir","06016150	","Colorado","Reservoir","Larimer","5450","40.59864","-105.17114","101900070802	","End of February, 2019","3-06-2019, 11:11 AM MST","93.5","89",,"95","90","-10.377","32","46","22",,,"104.8",,"98.666","103.877","-6.528","143.418","1987","1998","67",
"Windsor Reservoir","06016310	","Colorado","Reservoir","Weld","4780","40.48333","-104.9","101900071003	","End of February, 2019","3-06-2019, 11:11 AM MST","8.4","94",,"76","68","-3.939","18","56","13",,,"8.9",,"11.04","12.339","2.832","16.061","1955","2009","68",
